313,-7.38335,-9.24046,0.0231
66,12.86352,-23.60085,0.0525
332,-22.56711,-14.31514,0.0522
371,3.3799,-6.48815,0.01429
462,17.55628,-5.97366,0.03622
267,12.77036,-11.34384,0.03336
414,50.14267,-36.32038,0.12093
51,10.8209,8.25004,0.02658
206,6.90796,27.5846,0.05554
393,-6.31437,-13.6776,0.02942
27,-2.01354,-9.82934,0.0196
217,7.75548,1.88855,0.01559
13,3.13148,-3.91237,0.00979
476,5.17895,-18.59991,0.03771
447,-5.71062,-11.84452,0.02568
451,-6.35756,-12.33305,0.0271
468,-27.76264,-14.97145,0.06161
16,-6.3949,-13.09814,0.02847
260,0.88194,1.37608,0.00319
162,-5.7395,5.50842,0.01554
339,6.54991,11.33683,0.02557
389,-3.66215,-11.51289,0.0236
315,-9.29289,-8.68649,0.02484
353,7.80028,-0.41922,0.01526
360,-2.46643,1.23171,0.00538
61,8.61275,-2.21379,0.01737
243,7.6807,-6.09243,0.01915
359,6.44543,-2.90748,0.01381
45,4.75766,24.79821,0.04932
298,9.41112,-23.96672,0.05029
387,-2.59928,-10.70787,0.02152
239,7.94651,-4.9296,0.01826
391,-4.76605,-12.40414,0.02595
504,-60.64619,24.20752,0.12754
75,0.22372,-10.76651,0.02103
318,12.98548,1.80077,0.0256
47,9.08739,17.79366,0.03902
418,-17.79583,-32.15729,0.07178
289,5.88503,-6.54484,0.01719
169,0.83765,-7.85768,0.01543
129,9.29557,1.08769,0.01828
351,8.14004,0.79515,0.01597
203,4.37237,9.66239,0.02071
490,-0.29527,1.98742,0.00392
270,-0.39913,1.93062,0.00385
483,-9.87098,-2.61703,0.01995
40,-3.14457,-0.68193,0.00628
369,3.8647,-5.9434,0.01385
287,6.91554,-6.15692,0.01808
