2.13904;1.70559;0.398;0.54302;1.11101
1.69592;1.55413;0.72268;0.92813;0.51401
1.61536;1.06267;1.3656;1.57185;0.19014
1.85867;0.68723;1.75474;1.90217;0.0137
2.20107;0.29084;2.06169;2.06814;0.14502
2.77632;0.24331;2.02302;1.93198;0.64373
3.05347;0.54221;1.64355;1.4655;1.06106
3.13887;0.92813;1.28181;1.10295;1.56621
2.94631;1.57104;0.81614;0.72751;1.70881
2.3896;1.90217;0.6832;0.69207;1.55332
1.96421;2.06733;0.85803;1.00627;1.24878
1.49048;1.93118;1.19238;1.40105;0.68723
1.39219;1.4655;1.849;2.05767;0.38591
1.5936;1.10295;2.24136;2.39202;0.24331
1.91667;0.72751;2.55476;2.56282;0.398
2.45969;0.69207;2.52173;2.4323;0.92813
2.7175;1.00708;2.14548;1.96743;1.36479
2.77874;1.4083;1.78293;1.60569;1.90217
2.56926;2.05686;1.31646;1.22139;2.0625
1.98677;2.39202;1.18191;1.18594;1.93359
1.54768;2.56523;1.34868;1.4937;1.64275
1.05139;2.43391;1.67739;1.88284;1.10376
0.93457;1.96582;2.32112;2.52979;0.81614
1.12954;1.60488;2.70542;2.85044;0.69045
1.44536;1.22703;3.00593;3.00593;0.85723
1.97549;1.18755;2.95759;2.86252;1.40186
2.22847;1.49451;2.56362;2.37832;1.84739
2.28003;1.88364;2.18577;2.00046;2.39121
2.06895;2.52576;1.69431;1.59602;2.55798
1.48564;2.85044;1.54285;1.53962;2.43311
1.04817;3.00593;1.68384;1.81919;2.14548
0.5543;2.86252;1.99241;2.18899;1.60569
0.4407;2.37832;2.60552;2.79968;1.31646
0.6397;1.99966;2.96887;3.10261;1.18674
0.96196;1.59602;3.23635;3.22507;1.34707
1.50579;1.54043;3.16384;3.05911;1.88364
1.76924;1.81919;2.73523;2.53945;2.32112
1.83691;2.18899;2.33562;2.13743;2.85125
1.6363;2.80049;1.8071;1.69834;3.00513
1.07395;3.10261;1.63147;1.61536;2.86252
0.65017;3.22588;1.73298;1.85867;2.56282
0.18369;3.0575;2.01658;2.20027;2.00046
0.08862;2.53945;2.59343;2.77471;1.69592
0.32388;2.13743;2.93181;3.05266;1.53882
0.65581;1.69673;3.16062;3.13484;1.68223
1.23186;1.61536;3.06475;2.94712;2.1898
1.51626;1.85706;2.59827;2.38718;2.60552
1.62019;2.20188;2.17288;1.9634;3.10261
1.44053;2.77471;1.61133;1.48806;3.23635
